,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0032071554251125,3.9204681230960015,4.155723481769192,3.5276566239208655,3.9204013006381735,4.143076206293298,2.6557553505119538,4.066710942011263,4.010432666196164,3.8055546683051276,3.5364535095490135,3.559876500760338,4.960107882339161,3.9993443253140835,3.266382405010856,3.887045087767331,2.3705724158832138,3.1513674521226536,4.113901918094617,3.4057848886553894,4.011692299444803,3.609499461974133,3.481957102395417,3.798473797850148,3.7971694966394405,3.9845720281994748,3.3306718722864996,3.990530374378471,3.457231295422243,3.1065542563222945,2.7222452286387204,3.354412551218441,3.0412030614020833,4.5681041258577855
2,4.970690957627104,4.9679790368358185,4.445477658136103,3.9034419539490925,4.831668935679751,4.706361777059662,3.3939532071668848,4.698990475729914,4.532044736374318,4.837564541576951,3.9624083961338727,4.066686697752409,4.775979321563321,4.012891620962314,3.9985061893308256,4.21752699778381,2.5251860879326262,3.5430768205075838,4.198553058363516,4.3980443733564645,4.993928882693504,4.5736944359619445,3.8224698030607374,4.732436000181131,4.314420881814667,4.494177070150642,4.414835142207188,4.164191473150815,3.4626385499551393,4.389833951690095,2.994313970672952,4.346971710195029,4.013027722563718,3.9994121002982497
3,4.017205849752236,3.985692680312628,4.955713951045585,4.088405355935634,4.528631264988731,4.271182964858605,2.818575687000976,4.338145812433636,4.491338998636633,4.367898749191868,3.7248317612048307,3.531953232511122,4.96490606192159,4.196519121904883,3.4436094194869566,3.6214632856376867,2.7354880574909926,3.4195399713500136,4.212233094805049,3.502409603266943,4.440220621906405,3.0109386480445632,3.0160123159344967,3.8630769614543183,4.081078967759721,4.3171463654083375,3.8799825060550646,4.474649175387075,3.2059777699338565,3.2363057422145043,2.2308211900263117,2.589016999877467,3.445441035997482,4.5967401259545975
4,4.991063489534718,4.987263286686732,4.92921574264035,4.961955920871923,5.010572515499156,4.961536053328321,3.94463318284299,5.076188838602645,4.952067604446313,5.017330527564983,4.511591062666084,3.822353638519115,5.000353533184906,4.204157430571954,3.582872175005371,4.371920779848484,3.1188619273840557,3.5417053182969216,4.341159553314642,3.981994383591416,4.722051573828986,4.591542542391162,3.598649345797829,4.979615041071511,4.062779118509589,4.741924784803415,4.503231137632893,4.906811565167238,3.116745197129691,3.413903494021688,2.0072617137043944,4.223536903427486,4.171864218689247,4.6442039085209466
5,4.98061190676499,4.2403889145958775,5.461540939703185,4.373067007682332,5.163654451088863,4.554247518929432,3.1524151404673284,4.6369426980857815,4.982071636465265,4.919697161897925,4.143502799565462,4.107215476646917,4.967959364916539,4.677716021562577,3.292793672379905,4.270031066359271,3.0237779808350167,3.4372116778287647,4.969738650040914,3.390686044009565,3.9950435586421866,3.489025764503583,3.108937725020273,4.432703245186845,4.505457350251355,4.722711121191691,3.7370877019151494,5.074616397591311,3.0172433280850326,3.6106120823928234,2.9962717739487266,2.031799857210932,4.980747765982638,4.987312351771743
6,4.970657572235691,4.964542404966457,4.169124180992342,3.8778977562749493,4.506831917745812,4.541519436142887,3.554310595246664,4.708201303125287,4.2871404189143165,4.623699923673676,3.884545006674402,3.7876167358096806,4.321686991026915,3.631664925502466,3.9066272548572245,4.099711415628059,2.5469631005393527,3.085903691633823,3.7357133892174783,4.183640366872079,4.887923494191987,4.814818669086259,3.907125982199506,4.846767158697269,4.015876420759793,4.218105927271101,4.733984726462084,3.838274642100904,3.475841483211024,3.8118458961334793,2.0107190124136283,4.979286892725153,4.001686348220892,3.016657523304377
7,4.978863766908114,4.18442501901244,4.22003786063876,2.0410996606475305,4.1457251770045485,4.238810992762968,2.82810982376556,4.04111814683473,4.001498938183246,4.114931185975395,3.3278058610296806,4.96769302746933,4.988575573524144,4.913237369187215,4.040365935200437,4.983474615309249,2.1431866962021986,2.93971036107913,4.259887019013524,4.520848016499405,4.619289989649726,4.9959397105670575,4.9815931225352665,4.693240923081393,4.547038227203655,3.9874832066857198,3.7969642723753174,3.667707978669622,5.167616753912276,4.44597198972379,4.284601479432103,4.518108874820437,4.581938482326974,4.002954271160307
8,4.0331761493252865,4.610887607448957,4.988317591417142,4.093474611322125,4.812464080295162,4.380019835723927,3.4539517172677368,4.456833769261191,4.893165714623386,5.002090301692185,4.260947067425367,4.029742915995837,4.414535429321919,4.984760027087467,3.4821190298028295,4.04796196490289,3.31300212635502,4.05843395481343,3.666344013792633,3.939391489262044,5.039219134107736,3.635160936265105,3.0011872701757305,4.480155758319972,4.26742484527986,4.697538850692325,4.961254557469889,4.964585899766108,3.4014103325377807,3.474011219857662,2.098017559442687,3.154669322694257,3.7955527791536134,4.455435139004135
9,4.985851949392461,4.640153182720152,4.999132705548105,4.143064021626624,4.871829683203333,4.667919592292897,3.4075733342387697,4.796360830570363,4.769340679542184,4.76327998763745,4.352325847220704,4.289668252197574,4.999033156039554,4.8677918451736115,3.3623378468498624,4.977776135899433,2.983569445676308,3.453178065175753,4.366141569814388,3.588961591264343,4.595487510806847,4.56561057290898,3.972745540510269,4.753637006936331,4.420902832251169,4.743207024732228,4.053769214914868,4.974983706548704,3.9982848897351104,3.4472398940326094,2.6127329171120985,3.7349251568223902,4.461442164891712,4.890871820365682
10,4.009602931621218,3.9848268172888126,4.000577359707047,2.5245486444302156,3.9244438792023923,4.251607144824483,2.778352396673829,4.018300739464047,4.007822679799515,3.9033638037962435,2.51113387591737,4.011490687235808,4.990413872103139,3.0192730188358663,4.950843364985341,3.5493511566467064,2.938400892614183,2.792994375869418,4.514817830089912,5.084395916351427,3.9787059936895246,4.001600447368548,4.960478897597301,4.037108893522191,3.644726433656456,3.5720692720512037,3.897802093284988,3.206975743401701,4.997889056329839,5.326955159217964,2.96715173840711,4.658245826619369,3.3008914454937823,4.01992244459927
